"Con","Contp","PP","Reg","AgtId","Ver.x","N_characters.x","CowWar.x","BanPers.x","LaRefRet.x","TjPower.x","TjVic.x"
"Afghanistan","Government",2,"Europe and Eurasia",1739,2,10203,851,0,0,0,0
"Afghanistan","Government",2,"Europe and Eurasia",553,1,8371,851,0,0,0,0
"Afghanistan","Government",1,"Europe and Eurasia",409,1,10644,851,0,1,0,0
"Afghanistan","Government",1,"Europe and Eurasia",482,1,2434,851,0,0,0,0
"Algeria","Government",3,"Middle East and North Africa",1595,1,31542,875,0,0,0,0
"Algeria","Government",3,"Middle East and North Africa",1738,1,20128,875,0,0,0,2
"Algeria","Government",3,"Middle East and North Africa",1737,1,17090,875,0,0,0,2
"Algeria","Government",3,"Middle East and North Africa",1255,1,25404,875,0,0,0,1
"Algeria","Government",3,"Middle East and North Africa",1044,1,7534,875,0,0,0,1
"Algeria","Government",3,"Middle East and North Africa",484,1,24372,875,0,0,1,0
"Angola","Government",4,"Africa (excl MENA)",978,1,45258,907,0,0,0,0
"Angola","Government",4,"Africa (excl MENA)",305,1,7584,907,0,0,0,1
"Angola","Government",4,"Africa (excl MENA)",299,1,2894,907,0,0,0,0
"Angola","Government",4,"Africa (excl MENA)",300,1,3614,907,0,0,0,0
"Angola","Government",4,"Africa (excl MENA)",301,1,2894,907,0,0,0,1
"Angola","Government",4,"Africa (excl MENA)",1,1,2756,907,0,0,0,0
"Angola","Government",4,"Africa (excl MENA)",439,1,138110,880,0,0,0,0
"Angola","Government",4,"Africa (excl MENA)",1318,1,2798,880,0,0,0,0
"Angola","Government",4,"Africa (excl MENA)",207,1,2283,804,0,0,0,0
"Angola","Government",4,"Africa (excl MENA)",1316,1,76149,880,0,0,0,0
"Angola","Government",4,"Africa (excl MENA)",1319,1,27131,880,0,0,0,0
"Angola","Government",4,"Africa (excl MENA)",1317,1,3437,880,0,0,0,0
"Angola/Burundi/Central African Republic/Democratic Republic of Congo/Kenya/Republic of Congo/Rwanda/Sudan/Tanzania/Uganda/Zambia/(African Great Lakes)","Government",6,"Africa (excl MENA)",668,1,31012,905,0,0,0,0
"Angola/Burundi/Central African Republic/Democratic Republic of Congo/Kenya/Republic of Congo/Rwanda/Sudan/Tanzania/Uganda/Zambia/(African Great Lakes)","Government",6,"Africa (excl MENA)",349,1,25745,905,0,0,0,0
"Angola/Burundi/Central African Republic/Democratic Republic of Congo/Republic of Congo/Rwanda/South Africa/South Sudan/Tanzania/Uganda/Zambia/(African Great Lakes)","Government",6,"Africa (excl MENA)",789,1,7236,905,0,0,0,0
"Angola/Cabinda ","Government/territory",137,"Africa (excl MENA)",1336,1,194252,907,1,0,0,0
"Angola/Central African Republic/Democratic Republic of Congo/Kenya/Republic of Congo/Rwanda/Sudan/Tanzania/Uganda/Zambia/(African Great Lakes)","Government",6,"Africa (excl MENA)",1062,1,21505,905,0,0,0,0
"Armenia/Azerbaijan/(Nagorno-Karabakh)","Government/territory",8,"Europe and Eurasia",1926,2,1253,872,0,0,0,0
"Armenia/Azerbaijan/(Nagorno-Karabakh)","Government/territory",8,"Europe and Eurasia",1687,1,1315,872,0,0,0,0
"Armenia/Azerbaijan/(Nagorno-Karabakh)","Government/territory",8,"Europe and Eurasia",1686,1,2049,872,0,0,0,0
"Armenia/Azerbaijan/(Nagorno-Karabakh)","Government/territory",8,"Europe and Eurasia",1684,1,5177,872,0,0,0,0
"Armenia/Azerbaijan/Nagorno-Karabakh","Government/territory",8,"Europe and Eurasia",1733,1,1841,872,0,0,0,0
"Armenia/Azerbaijan/Nagorno-Karabakh","Government/territory",8,"Europe and Eurasia",990,1,1836,872,0,0,0,0
"Armenia/Azerbaijan/Nagorno-Karabakh","Territory",8,"Europe and Eurasia",310,1,2812,872,0,0,0,0
"Armenia/Azerbaijan/Nagorno-Karabakh","Government/territory",8,"Europe and Eurasia",1732,1,1771,872,0,0,0,0
"Armenia/Azerbaijan/Nagorno-Karabakh","Government/territory",8,"Europe and Eurasia",1731,1,2445,872,0,0,0,0
"Armenia/Azerbaijan/Nagorno-Karabakh","Government/territory",8,"Europe and Eurasia",1730,1,839,872,0,0,0,0
"Armenia/Azerbaijan/Nagorno-Karabakh","Government/territory",8,"Europe and Eurasia",1729,1,1481,872,0,0,0,0
"Armenia/Azerbaijan/Nagorno-Karabakh","Government/territory",8,"Europe and Eurasia",1728,1,2079,872,0,0,0,0
"Armenia/Azerbaijan/Nagorno-Karabakh","Government/territory",8,"Europe and Eurasia",1727,1,830,872,0,0,0,0
"Armenia/Azerbaijan/Nagorno-Karabakh","Government/territory",8,"Europe and Eurasia",1726,1,1071,872,0,0,0,0
"Armenia/Azerbaijan/Nagorno-Karabakh","Government/territory",8,"Europe and Eurasia",1725,1,2040,872,0,0,0,0
"Armenia/Azerbaijan/Nagorno-Karabakh","Government/territory",8,"Europe and Eurasia",1724,1,753,872,0,0,0,0
"Armenia/Azerbaijan/Nagorno-Karabakh","Government/territory",8,"Europe and Eurasia",1723,1,582,872,0,0,0,0
"Armenia/Azerbaijan/Nagorno-Karabakh","Government/territory",8,"Europe and Eurasia",1722,1,1432,872,0,0,0,0
"Armenia/Azerbaijan/Nagorno-Karabakh","Government/territory",8,"Europe and Eurasia",1721,1,995,872,0,0,0,0
"Armenia/Azerbaijan/(Nagorno-Karabakh)","Government/territory",8,"Europe and Eurasia",1683,1,3248,872,0,0,0,0
"Armenia/Azerbaijan/Russia/(Nagorno-Karabakh)","Government/territory",8,"Europe and Eurasia",1925,2,1445,872,0,0,0,0
"Armenia/Azerbaijan/Russia/(Nagorno-Karabakh)","Government/territory",8,"Europe and Eurasia",1685,1,1139,872,0,0,0,2
"Armenia/Azerbaijan/Russia/(Nagorno-Karabakh)","Government/territory",8,"Europe and Eurasia",823,1,2208,872,0,0,0,0
"Armenia/Azerbaijan/Russia/(Nagorno-Karabakh)","Government/territory",8,"Europe and Eurasia",611,1,5666,872,0,0,0,0
"(Bougainville)/(United Nations)","Government/territory",9,"Cross-regional",1287,1,2719,854,0,0,0,0
"Burundi","Government",141,"Africa (excl MENA)",1908,2,2845,918,0,0,0,0
"Burundi","Government",141,"Africa (excl MENA)",1934,2,5130,918,0,0,0,0
"Burundi","Government",16,"Africa (excl MENA)",713,1,7395,918,0,0,0,0
"Burundi","Government",16,"Africa (excl MENA)",1907,2,2378,918,0,0,0,0
"Burundi","Government",16,"Africa (excl MENA)",712,1,4291,918,0,0,0,0
"Burundi","Government",16,"Africa (excl MENA)",1905,2,6238,918,0,0,0,0
"Burundi","Government",16,"Africa (excl MENA)",711,1,1879,918,0,0,0,0
"Burundi","Government",16,"Africa (excl MENA)",336,1,31235,918,0,0,0,0
"Burundi","Government",16,"Africa (excl MENA)",702,1,18163,918,0,0,0,0
"Burundi","Government",16,"Africa (excl MENA)",1421,1,114813,918,0,0,1,0
"Burundi","Government",16,"Africa (excl MENA)",202,1,8462,918,0,0,0,0
"Burundi","Inter-group",148,"Africa (excl MENA)",2034,2,5210,918,0,0,0,0
"Burundi","Government",16,"Africa (excl MENA)",1419,1,6616,918,0,0,0,0
"Burundi","Government",16,"Africa (excl MENA)",568,1,7337,918,0,0,0,0
"Burundi","Government",16,"Africa (excl MENA)",565,1,76097,918,0,0,0,0
"Burundi","Government",16,"Africa (excl MENA)",584,1,6005,918,0,0,0,0
"Burundi","Government",16,"Africa (excl MENA)",582,1,10370,918,0,0,0,0
"Burundi","Government",16,"Africa (excl MENA)",1304,1,1901,918,0,0,0,0
"Burundi","Government",16,"Africa (excl MENA)",1904,2,4790,918,0,0,0,0
"Burundi","Government",16,"Africa (excl MENA)",321,1,23818,918,0,0,0,0
"Burundi","Government",16,"Africa (excl MENA)",1425,1,114277,918,0,1,1,3
"Burundi","Government",16,"Africa (excl MENA)",306,1,331603,883,1,1,0,3
"Burundi","Government",16,"Africa (excl MENA)",380,1,10649,883,0,0,0,0
"Burundi","Government",16,"Africa (excl MENA)",303,1,26662,883,0,0,0,0
"Burundi","Government",16,"Africa (excl MENA)",1045,1,8319,883,0,0,0,0
"Cambodia","Government",17,"Asia and Pacific",196,1,2249,857,0,0,0,0
"Cambodia","Government",17,"Asia and Pacific",243,1,9722,857,0,0,0,0
"Cambodia","Government",17,"Asia and Pacific",252,1,58401,857,0,1,0,0
"Cambodia","Government",17,"Asia and Pacific",378,1,9482,857,0,0,0,0
"Cambodia","Government",17,"Asia and Pacific",364,1,4725,857,0,0,0,0
"Cambodia","Government",17,"Asia and Pacific",1332,1,23288,857,0,0,0,0
"Central African Republic/Chad/Sudan/(Darfur)","Territory",21,"Africa (excl MENA)",133,1,3106,927,0,0,0,0
"Chad","Government",26,"Africa (excl MENA)",804,1,4743,937,0,0,0,0
"Chad","Government",26,"Africa (excl MENA)",762,1,5589,937,0,0,0,0
"Chad","Government",26,"Africa (excl MENA)",761,1,5168,937,0,0,0,0
"Chad","Government",26,"Africa (excl MENA)",1265,1,24865,937,0,0,0,0
"Chad","Government",22,"Africa (excl MENA)",615,1,3791,906,0,0,0,0
"Chad","Government",22,"Africa (excl MENA)",910,1,3278,906,0,0,0,0
"Colombia","Government",144,"Americas",2045,2,4138,856,0,0,0,0
"Colombia","Government",144,"Americas",2043,2,4464,856,0,0,0,0
"Colombia","Government",144,"Americas",1890,2,1453,856,0,0,0,0
"Colombia","Government",144,"Americas",1937,2,1695,856,0,0,0,0
"Colombia","Government",144,"Americas",1936,2,1561,856,0,0,0,0
"Colombia","Government",101,"Americas",1845,2,908459,856,0,1,1,3
"Colombia","Inter-group",101,"Americas",2127,2,2808,856,0,0,0,1
"Colombia","Government/territory",101,"Americas",2068,2,3973,856,0,0,0,0
"Colombia","Government",101,"Americas",1821,2,3358,856,0,0,0,0
"Colombia","Government",101,"Americas",2065,2,809,856,0,0,0,0
"Colombia","Government",101,"Americas",1736,2,30456,856,0,0,0,0
"Colombia","Government",101,"Americas",1796,2,63723,856,0,0,0,3
"Colombia","Government",101,"Americas",1655,2,8485,856,0,0,0,1
"Colombia","Government",101,"Americas",1656,2,6954,856,0,0,0,0
"Colombia","Government",101,"Americas",1935,2,9335,856,0,0,0,1
"Colombia","Government",101,"Americas",1548,2,3543,856,0,0,0,0
"Colombia","Government",101,"Americas",1549,2,2703,856,0,0,0,0
"Colombia","Government",101,"Americas",1547,1,174228,856,0,1,0,3
"Colombia","Government",101,"Americas",1368,1,16927,856,0,0,0,2
"Colombia","Government",101,"Americas",1369,1,5409,856,0,0,0,3
"Colombia","Government",101,"Americas",1397,1,3287,856,0,0,0,0
"Colombia","Government",101,"Americas",1398,1,26386,856,0,0,0,3
"Colombia","Government",101,"Americas",1396,1,2578,856,0,0,0,1
"Colombia","Government",101,"Americas",1395,1,6276,856,0,0,0,0
"Colombia","Government",101,"Americas",1394,1,1303,856,0,0,0,1
"Colombia","Government",101,"Americas",1392,1,12664,856,0,0,0,2
"Colombia","Government",101,"Americas",1391,1,3289,856,0,0,0,2
"Colombia","Government",101,"Americas",817,1,56942,856,0,1,0,2
"Colombia","Government",101,"Americas",815,1,71334,856,0,0,0,0
"Colombia","Government",101,"Americas",812,1,52892,856,0,0,0,1
"Colombia","Government",101,"Americas",786,1,8733,856,0,0,0,2
"Colombia","Government",100,"Americas",827,1,2842,856,0,0,0,0
"Colombia","Government",100,"Americas",146,1,7247,856,0,0,0,0
"Colombia","Government",100,"Americas",167,1,4173,856,0,0,0,0
"Colombia","Government",99,"Americas",153,1,5723,856,0,0,0,0
"Colombia","Government",99,"Americas",1144,1,2012,856,0,0,0,0
"Colombia","Government",99,"Americas",157,1,13094,856,0,0,0,0
"Colombia","Government",99,"Americas",1151,1,4881,856,0,0,0,0
"Colombia","Government",99,"Americas",159,1,2928,856,0,0,0,0
"Colombia","Government",99,"Americas",154,1,5474,856,0,0,0,0
"Colombia","Government",99,"Americas",1150,1,3010,856,0,0,0,0
"Colombia","Government",99,"Americas",170,1,6974,856,0,0,0,0
"Colombia","Government",99,"Americas",1142,1,3160,856,0,0,0,0
"Colombia","Government",99,"Americas",1141,1,2239,856,0,0,0,0
"Colombia","Government",99,"Americas",1140,1,2873,856,0,0,0,0
"Colombia","Government",99,"Americas",1138,1,1540,856,0,0,0,0
"Colombia","Government",99,"Americas",145,1,3525,856,0,0,0,0
